# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:a                      3:proper time [Gyr]      4:conf. time [Mpc]       5:H [1/Mpc]              6:comov. dist.           7:ang.diam.dist.         8:lum. dist.             9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)number_ncdm[0]     14:(.)rho_ncdm[0]        15:(.)p_ncdm[0]          16:(.)number_ncdm[1]     17:(.)rho_ncdm[1]        18:(.)p_ncdm[1]          19:(.)number_ncdm[2]     20:(.)rho_ncdm[2]        21:(.)p_ncdm[2]          22:(.)rho_lambda         23:(.)rho_ur             24:(.)rho_crit           25:(.)rho_tot            26:(.)p_tot              27:(.)p_tot_prime        28:gr.fac. D             29:gr.fac. f          
       8.111774765760e+13       1.232775846071e-14       1.148575384672e-25       5.713445716538e-09       1.419830086219e+22       1.414308953673e+04       1.743525916970e-10       1.147255568139e+18       3.298518174877e-09       1.191358877859e+44       1.326157077483e+33       7.114805995632e+33       1.071047884170e+29       6.334645306189e-13       9.142491840936e+42       1.071047884170e+29       6.334645306189e-13       9.142491840936e+42       1.071047884170e+29       6.334645306189e-13       9.142491840936e+42       3.454055557132e-08       1.734330105567e+41       2.015917473733e+44       2.015917473733e+44       6.719724912161e+43      -4.704700451829e+52       2.363878244241e-06       4.778552051877e+00 
       8.055387056366e+13       1.241405276994e-14       1.164711720252e-25       5.753463483416e-09       1.400159248931e+22       1.414308953673e+04       1.755730598389e-10       1.139280603912e+18       3.321607802101e-09       1.158576521413e+44       1.298693167616e+33       6.967462672654e+33       1.048867131185e+29       6.334645306189e-13       8.890919932672e+42       1.048867131185e+29       6.334645306189e-13       8.890919932672e+42       1.048867131185e+29       6.334645306189e-13       8.890919932672e+42       3.454055557132e-08       1.686606930987e+41       1.960445922367e+44       1.960445922367e+44       6.534819740948e+43      -4.543438191790e+52       2.442674185716e-06       4.624405211493e+00 
       7.999391317146e+13       1.250095113933e-14       1.181074755209e-25       5.793481250294e-09       1.380760938506e+22       1.414308953673e+04       1.768020712577e-10       1.131361076377e+18       3.344859056716e-09       1.126696229756e+44       1.271798018688e+33       6.823170740654e+33       1.027145728161e+29       6.334645306189e-13       8.646270472481e+42       1.027145728161e+29       6.334645306189e-13       8.646270472481e+42       1.027145728161e+29       6.334645306189e-13       8.646270472481e+42       3.454055557132e-08       1.640196944355e+41       1.906500769304e+44       1.906500769304e+44       6.355002564078e+43      -4.387703492278e+52       2.521470127190e-06       4.479892548634e+00 
       7.943784823382e+13       1.258845779730e-14       1.197667674445e-25       5.833499017172e-09       1.361631379259e+22       1.414308953673e+04       1.780396857566e-10       1.123496600176e+18       3.368273070112e-09       1.095693180972e+44       1.245459852005e+33       6.681867007173e+33       1.005874162237e+29       6.334645306189e-13       8.408352976904e+42       1.005874162237e+29       6.334645306189e-13       8.408352976904e+42       1.005874162237e+29       6.334645306189e-13       8.408352976904e+42       3.454055557132e-08       1.595064010971e+41       1.854040012983e+44       1.854040012983e+44       6.180133376346e+43      -4.237306885992e+52       2.600266068665e-06       4.344138228979e+00 
       7.888564869297e+13       1.267657700188e-14       1.214493707603e-25       5.875335773453e-09       1.342766847814e+22       1.414308953673e+04       1.792859635568e-10       1.115686792627e+18       3.391850981603e-09       1.065543236164e+44       1.219667132802e+33       6.543489588429e+33       9.850431175602e+28       6.334645306189e-13       8.176982203972e+42       9.850431175602e+28       6.334645306189e-13       8.176982203972e+42       9.850431175602e+28       6.334645306189e-13       8.176982203972e+42       3.454055557132e-08       1.551172990446e+41       1.803022807589e+44       1.803022807589e+44       6.010076025039e+43      -4.092065399970e+52       2.679062010139e-06       4.216369457538e+00 
       7.833728767921e+13       1.276531304090e-14       1.231556129701e-25       5.915353540331e-09       1.324163672381e+22       1.414308953673e+04       1.805409653017e-10       1.107931273711e+18       3.415593938474e-09       1.036222920661e+44       1.194408565191e+33       6.407977882217e+33       9.646434712019e+28       6.334645306189e-13       7.951978008979e+42       9.646434712019e+28       6.334645306189e-13       7.951978008979e+42       9.646434712019e+28       6.334645306189e-13       7.951978008979e+42       3.454055557132e-08       1.508489709340e+41       1.753409431254e+44       1.753409431254e+44       5.844698103928e+43      -3.951802332983e+52       2.757857951614e-06       4.095901758751e+00 
       7.779273850965e+13       1.285467023218e-14       1.248858261768e-25       5.957190296613e-09       1.305818232040e+22       1.414308953673e+04       1.818047520589e-10       1.100229666049e+18       3.439503096043e-09       1.007709405738e+44       1.169673087218e+33       6.275272541367e+33       9.446662891644e+28       6.334645306189e-13       7.733165204221e+42       9.446662891644e+28       6.334645306189e-13       7.733165204221e+42       9.446662891644e+28       6.334645306189e-13       7.733165204221e+42       3.454055557132e-08       1.466980934557e+41       1.705161255127e+44       1.705161255127e+44       5.683870850175e+43      -3.816347040564e+52       2.836653893089e-06       3.982126709897e+00 
       7.725197468684e+13       1.294465292381e-14       1.266403471487e-25       5.999027052894e-09       1.287726956034e+22       1.414308953673e+04       1.830773853233e-10       1.092581594885e+18       3.463579617715e-09       9.799804908440e+43       1.145449866012e+33       6.145315447750e+33       9.251028224675e+28       6.334645306189e-13       7.520373422593e+42       9.251028224675e+28       6.334645306189e-13       7.520373422593e+42       9.251028224675e+28       6.334645306189e-13       7.520373422593e+42       3.454055557132e-08       1.426614347470e+41       1.658240713298e+44       1.658240713298e+44       5.527469044083e+43      -3.685534727399e+52       2.915449834563e-06       3.874501663683e+00 
       7.671496989756e+13       1.303526549428e-14       1.284195173858e-25       6.040863809176e-09       1.269886323082e+22       1.414308953673e+04       1.843589270205e-10       1.084986688068e+18       3.487824675039e-09       9.530145863146e+43       1.121728293046e+33       6.018049686831e+33       9.059445033169e+28       6.334645306189e-13       7.313436984946e+42       9.059445033169e+28       6.334645306189e-13       7.313436984946e+42       9.059445033169e+28       6.334645306189e-13       7.313436984946e+42       3.454055557132e-08       1.387358518753e+41       1.612611273550e+44       1.612611273550e+44       5.375370911595e+43      -3.559206246833e+52       2.994245776038e-06       3.772541093587e+00 
       7.618169801148e+13       1.312651235274e-14       1.302236831855e-25       6.082700565457e-09       1.252292860682e+22       1.414308953673e+04       1.856494395097e-10       1.077444576036e+18       3.512239447764e-09       9.267906965640e+43       1.098497979489e+33       5.893419522741e+33       8.871829413523e+28       6.334645306189e-13       7.112194771085e+42       8.871829413523e+28       6.334645306189e-13       7.112194771085e+42       8.871829413523e+28       6.334645306189e-13       7.112194771085e+42       3.454055557132e-08       1.349182883918e+41       1.568237408915e+44       1.568237408915e+44       5.227458029485e+43      -3.437207907261e+52       3.073041717512e-06       3.675809270674e+00 
